name,country_code,latitude,longitude,timezone_id
Taitung,TW,22.75991,121.14457,322
Taipei,TW,25.05306,121.52639,322
Tainan,TW,22.99083,120.21333,322
Taichung,TW,24.1469,120.6839,322
Nantou,TW,23.91566,120.66387,322
Miaoli,TW,24.56427,120.82367,322
Kaohsiung,TW,22.61626,120.31333,322
Yilan,TW,24.757,121.753,322
Hualien,TW,23.97694,121.60444,322
Hsinchu County,TW,24.83333,121.0088333,322
Hsinchu City,TW,24.80361,120.96861,322
Keelung,TW,25.13089,121.74094,322
Chiayi County,TW,23.4590601,120.292948,322
Chiayi City,TW,23.47917,120.44889,322
Changhua,TW,24.0692,120.5512,322
Taoyuan City,TW,24.99368,121.29696,322
New Taipei City,TW,25.06199,121.45703,322
Yunlin,TW,23.70489,120.47607,322
Penghu,TW,23.583331,119.583331,322
Kinmen,TW,24.44,118.33,322
Pingtung,TW,22.67233064,120.489831374,322
Lienchiang County,TW,26.15066606,119.9229963,322
